$format(new date(), 'yyyyMMdd	HH:mm:ss)	cae42860-9731-42c7-bea5-eb6069addd2a	undefined	undefined	/new-page.html
20220821	18:43:45	8b50001d-9ae5-4832-a3c1-d2cfd6b777e4	GET	undefined	/refresh
20220821	18:44:31	798f01f9-903a-4d46-bc3d-4e6e71ccdee2	GET	undefined	/auth
20220821	18:44:42	eed1eb40-7dc0-4988-933b-d66a9ff4d81a	POST	undefined	/auth
20220821	18:45:24	46906577-3815-42d7-8f52-8a9a4696258a	GET	undefined	/refresh
20220821	18:45:57	01b88fb3-deb0-4e19-a420-8fc6a4ee38f8	GET	undefined	/refresh
20220821	18:46:31	6f42fb67-8cfb-4a05-9f0d-7732a8970d8b	POST	undefined	/auth
20220821	18:46:38	71a923a6-cd03-4671-bbae-e3b03689aea9	POST	undefined	/auth
20220821	18:46:41	d7618d74-424c-4a34-af1a-1087770abd4b	GET	undefined	/refresh
20220821	18:48:07	b5f82f20-9e9b-4203-a658-2e1c7ceb7c19	GET	undefined	/refresh
20220821	18:48:11	e8846580-7405-42c4-9d96-e3df0f27b045	POST	undefined	/auth
20220821	18:48:12	9142c7fc-0df2-4a6f-8b6a-74ab9cf9559f	GET	undefined	/refresh
20220821	18:48:36	4a3490d8-a319-48ed-9a9e-fcf924a33d53	POST	undefined	/auth
20220821	18:48:38	96940d0d-4a5b-4e6e-a638-34cdb8aa469b	GET	undefined	/refresh
20220821	18:49:10	e00c8939-a9d6-41d4-8103-4cbbdc0386a5	POST	undefined	/register
20220821	18:49:17	e4c94d55-10ab-4707-a284-d3f27a174f18	POST	undefined	/register
20220821	18:49:22	b49df3c2-5207-4f28-8f01-ea5540ea3bfa	POST	undefined	/auth
20220821	18:49:25	6514cff1-4437-46d2-a41f-2806ec111526	GET	undefined	/refresh
20220821	18:50:08	3cffe08b-3d73-476e-a453-621854ef6e1a	GET	undefined	/refresh
20220821	18:51:56	14d75686-d871-4e53-b6d9-c5d01bee2c95	POST	undefined	/register
20220821	18:52:01	ed4c564a-d599-4955-b446-36a1a0daffc5	POST	undefined	/register
20220821	18:52:06	a745692c-f259-4d5d-ae4c-2617fcc44139	POST	undefined	/auth
20220821	18:52:10	8531b3d1-fcc2-4462-af74-21a451384ae4	GET	undefined	/refresh
20220821	19:22:04	49d43a06-f5cd-40a3-9d9b-f2a62b50255f	POST	undefined	/auth
20220821	19:22:08	47cd5bb6-7c5f-4125-87de-8e62d44bd2b5	POST	undefined	/auth
20220821	19:22:09	98e545a0-e961-46c3-bdd5-c1a7bbac5e88	POST	undefined	/auth
20220821	19:22:25	112190e0-f3fb-476e-a673-c22636fb1412	POST	undefined	/register
20220821	19:22:30	20f89096-ae59-4e58-a2a4-dd48bdf3ceb0	POST	undefined	/register
20220821	19:22:35	d5d89e8b-2015-4d2f-82da-8940b3796f7b	POST	undefined	/auth
20220821	19:23:40	60e232ef-b267-42a1-848d-086b2c922728	POST	undefined	/auth
20220821	19:23:50	582bdaf4-3cc3-42d6-84cb-1a23911616cb	POST	undefined	/auth
20220821	19:24:39	f540f540-4f2d-49b6-bac0-812c0aa5fd79	POST	undefined	/auth
20220821	19:24:47	e4bb73a2-ee33-4fea-86c7-c2421510da4c	POST	undefined	/register
20220821	19:24:54	d718357c-7727-413e-b0b9-388ccf22a2b6	POST	undefined	/auth
20220821	19:25:26	1c14f1ac-8770-426c-a570-49a2598b7fbb	POST	undefined	/login
20220821	19:26:05	cbac0f72-2b21-4952-9b83-9d984af25666	POST	undefined	/login
20220821	19:26:57	97de653a-fb45-4fe0-89bb-f85edc18e34d	POST	undefined	/login
20220821	19:29:43	e901dbe7-ad1b-416b-9c81-4f883c82625d	POST	undefined	/login
20220821	19:30:23	6d92ca7b-5c6a-4613-b813-99b510db1a82	GET	undefined	/logout
20220821	19:30:52	f157e9e9-dbd9-47f6-a9d5-459ed8e74745	GET	undefined	/logout
20220821	19:31:24	9045b497-f456-4b95-abe5-b9270f3047fa	GET	undefined	/refresh
20220821	19:31:34	9c47b8d4-3c63-431f-9d5c-533159cbd153	POST	undefined	/login
20220821	19:31:42	60d374e5-aca0-4fd2-abe4-558b915c2aea	GET	undefined	/refresh
20220821	19:32:08	a81bb5db-809e-4fe0-b9ba-4eba8818562a	GET	undefined	/refresh
20220821	19:32:19	83b8cab4-e3b6-45db-b2af-dcf57398bb6c	GET	undefined	/refresh
